MESSAGE_ID,SENTIMENT_POLARITY,SENTIMENT_TERM,Text
tag:search.twitter.com,2005:522797503960215552,NEGATIVE,abuse
tag:search.twitter.com,2005:587046394088837120,POSITIVE,gorgeous
tag:search.twitter.com,2005:598874690459979776,POSITIVE,NOT oversight
tag:search.twitter.com,2005:617937968607539201,POSITIVE,honestly
tag:search.twitter.com,2005:617937968607539201,POSITIVE,excited
tag:search.twitter.com,2005:617937968607539201,POSITIVE,excited
tag:search.twitter.com,2005:637348130007023617,POSITIVE,Secure
tag:search.twitter.com,2005:637348130007023617,NEGATIVE,compromised
tag:search.twitter.com,2005:637348130007023617,NEGATIVE,compromised
tag:search.twitter.com,2005:734974883298349056,NEGATIVE,stop
tag:search.twitter.com,2005:523136883522420736,NEGATIVE,abuse
tag:search.twitter.com,2005:522382274135072768,NEGATIVE,abuse
tag:search.twitter.com,2005:637348393841524736,NEGATIVE,compromised
tag:search.twitter.com,2005:637348393841524736,NEGATIVE,compromised
tag:search.twitter.com,2005:753335265767202816,POSITIVE,I like that
tag:search.twitter.com,2005:753335265767202816,POSITIVE,NOT pestered
tag:search.twitter.com,2005:488713843036540928,POSITIVE,commensurate
tag:search.twitter.com,2005:506987547718082561,POSITIVE,Better
tag:search.twitter.com,2005:522385136747548672,NEGATIVE,abuse
tag:search.twitter.com,2005:522513780262326274,NEGATIVE,abuse
tag:search.twitter.com,2005:532786213745225728,NEGATIVE,oversight
tag:search.twitter.com,2005:540748915751276545,POSITIVE,good
tag:search.twitter.com,2005:547505381652840448,POSITIVE,delivered
tag:search.twitter.com,2005:547505381652840448,POSITIVE,gift
tag:search.twitter.com,2005:560109697609375747,POSITIVE,thank you
tag:search.twitter.com,2005:574960569616232448,POSITIVE,great
tag:search.twitter.com,2005:613842300360208384,NEGATIVE,shit
tag:search.twitter.com,2005:677542575159513089,NEGATIVE,stop
tag:search.twitter.com,2005:705829796836720640,POSITIVE,NOT oversight
